TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE
nsubj-advcl-punct-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-xcomp-punct,0,0,0,0,0,0,0,2,0
advmod-punct-prep-nsubjpass-auxpass-punct-appos,0,0,0,0,0,0,0,1,0
prt-prep-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-dobj,1,0,0,0,0,0,0,1,0
prep-punct-nsubjpass-auxpass-punct,0,0,0,0,0,0,0,1,0
nsubj-acomp-prep,0,0,0,0,0,1,0,1,0
ccomp-punct-nsubj-attr-punct,0,0,0,0,0,0,0,2,0
prep-punct-nsubjpass-auxpass-advmod-prep-punct,0,0,0,0,0,0,0,1,0
punct-det-amod-amod-relcl-punct-advmod-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-ccomp,1,0,0,0,0,0,0,1,0
ccomp-punct-nsubjpass-auxpass-advmod-xcomp-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-xcomp-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-prep-punct-cc-conj,0,0,0,0,0,0,0,1,0
cc-ccomp-punct-prep-punct-nsubj-dobj-punct,0,0,0,0,0,0,0,1,0
expl-attr,0,0,0,0,0,0,0,1,0
nsubj-prep-punct-cc-conj,0,0,0,0,0,0,0,1,0
advmod-punct-nsubjpass-auxpass-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-prep-punct-advcl-punct,0,0,0,0,0,0,0,1,0
ccomp-punct-prep-nsubj-punct-nsubj-dobj-punct-punct,0,0,0,0,0,0,0,1,0
advmod-punct-prep-punct-nsubjpass-auxpass-punct-punct,0,0,0,0,0,0,0,1,0
punct-advmod-nsubj-dep-prt,0,0,0,0,0,0,0,1,0
advcl-punct-punct-nsubj-dobj-punct-punct-punct,0,0,0,0,0,0,0,1,0
nsubj-prep-punct-punct,0,0,0,0,0,0,0,2,0
nsubj-punct-prep-punct-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-prep-cc-conj,0,0,0,0,0,0,0,2,0
prep-punct-nsubjpass-auxpass-prep-punct-advcl-punct,0,0,0,0,0,0,0,1,0
expl-advmod-attr-punct,0,0,0,0,0,0,0,2,0
aux-dobj-prep,0,0,0,0,0,0,0,1,0
nsubjpass-aux-auxpass-prep-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-dobj-punct-advcl-punct-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-acomp-cc-conj,0,0,0,0,0,0,0,4,0
nsubj-acomp-punct-dep-punct,0,0,0,0,0,0,0,1,0
advmod-nsubj-punct,0,0,0,0,0,0,0,1,0
nsubj-attr,0,0,0,0,0,0,0,2,0
ccomp-punct-nsubj-advmod-dobj-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-dobj-prep,0,0,0,0,0,0,0,1,0
ccomp-punct-nsubj-dobj-punct-advcl-punct-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-dep-dobj-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-dobj-prep-punct,0,0,0,0,0,1,0,2,0
advmod-punct-nsubj-aux-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-advcl-punct,1,0,0,0,1,1,0,2,0
nsubj-prep-punct-cc-conj-punct,0,0,0,0,0,0,0,1,0
prep-punct-expl-attr-punct-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-prep-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-punct,0,0,0,0,0,0,0,1,0
nsubj-npadvmod-prep-punct-advcl,0,0,0,0,0,0,0,1,0
cc-nsubj-prt-dobj-punct,0,0,0,0,0,0,0,1,0
advcl-punct-nsubj-acomp-punct,0,0,0,0,0,0,0,1,0
advmod-punct-nsubj-dobj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-prep-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-prep-advmod-punct,0,0,0,0,0,0,0,1,0
ccomp-punct-nsubj-attr-cc-conj-punct,0,0,0,0,0,0,0,1,0
aux-xcomp,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-oprd-agent-punct,0,0,0,0,0,0,0,1,0
nsubj-acomp-punct-conj,0,0,0,0,0,0,0,1,0
nsubj-acomp-punct-cc-conj,0,0,0,0,0,0,0,2,0
advcl-punct-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-attr-punct,0,0,0,0,0,0,0,1,0
nsubj-punct-acomp-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-agent-punct,1,0,0,0,0,0,0,1,0
advcl-nsubj-prt-ccomp-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-dobj-punct,1,0,0,0,0,0,0,3,0
parataxis-nsubj-advmod-dobj-punct-punct,0,0,0,0,0,0,0,1,0
mark-ccomp-ccomp-punct-nsubj-attr-punct-advcl,0,0,0,0,0,0,0,1,0
dobj-punct-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-prep-prep-advcl-punct,0,0,0,0,0,0,0,1,0
advcl-punct-nsubjpass-auxpass-prep-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-attr-ccomp-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-prep-punct,0,0,0,0,0,0,0,2,0
nsubj-attr-punct-cc-conj,0,0,0,0,0,0,0,1,0
npadvmod-nsubj-aux-ccomp-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-dobj-prep-punct,0,0,0,0,1,0,0,1,0
nsubj-aux-dobj-cc-conj,0,0,0,0,0,0,0,2,0
nsubj-prep-advcl-punct,0,0,0,0,0,1,0,1,0
nsubjpass-aux-auxpass-prep-advcl,0,0,0,0,0,0,0,1,0
advcl-punct-nsubj-aux-dobj-punct-cc-conj,0,0,0,0,0,0,0,1,0
advmod-punct-nsubj-acomp-xcomp-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-acomp-punct-cc-conj-conj,0,0,0,0,0,0,0,1,0
nsubj-dobj-punct-dep-punct,0,0,0,0,0,0,0,1,0
nsubj-punct-attr-punct,0,0,0,0,0,0,0,1,0
dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod,0,0,0,0,0,0,0,1,0
nsubj-attr-xcomp-punct,0,0,0,0,0,0,0,1,0
nsubjpass-aux-auxpass,0,0,0,0,0,0,0,1,0
csubj-attr-prep,0,0,0,0,0,0,0,1,0
ccomp-punct-nsubjpass-auxpass-punct-cc-conj-punct,0,0,0,0,0,0,0,1,0
mark-ccomp-punct-expl-attr,0,0,0,0,0,0,0,1,0
nsubj-attr-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-dobj-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-prep-cc-conj,1,0,0,0,0,0,0,1,0
prep-nsubj-aux-prep-dobj-punct-punct,0,0,0,0,0,0,0,1,0
